V1	I(D1)
-1.000000000000000e+01	-7.731216e-03
-9.990000000000000e+00	-7.721275e-03
-9.980000000000000e+00	-7.711334e-03
-9.970000000000001e+00	-7.701394e-03
-9.960000000000001e+00	-7.691453e-03
-9.949999999999999e+00	-7.681513e-03
-9.940000000000000e+00	-7.671573e-03
-9.930000000000000e+00	-7.661633e-03
-9.920000000000000e+00	-7.651693e-03
-9.910000000000000e+00	-7.641753e-03
-9.900000000000000e+00	-7.631813e-03
-9.890000000000001e+00	-7.621873e-03
-9.880000000000001e+00	-7.611933e-03
-9.869999999999999e+00	-7.601993e-03
-9.859999999999999e+00	-7.592054e-03
-9.850000000000000e+00	-7.582114e-03
-9.840000000000000e+00	-7.572175e-03
-9.830000000000000e+00	-7.562235e-03
-9.820000000000000e+00	-7.552295e-03
-9.810000000000000e+00	-7.542356e-03
-9.800000000000001e+00	-7.532417e-03
-9.789999999999999e+00	-7.522478e-03
-9.779999999999999e+00	-7.512539e-03
-9.770000000000000e+00	-7.502600e-03
-9.760000000000000e+00	-7.492661e-03
-9.750000000000000e+00	-7.482722e-03
-9.740000000000000e+00	-7.472783e-03
-9.730000000000000e+00	-7.462845e-03
-9.720000000000001e+00	-7.452906e-03
-9.710000000000001e+00	-7.442968e-03
-9.699999999999999e+00	-7.433029e-03
-9.690000000000000e+00	-7.423091e-03
-9.680000000000000e+00	-7.413153e-03
-9.670000000000000e+00	-7.403214e-03
-9.660000000000000e+00	-7.393276e-03
-9.650000000000000e+00	-7.383338e-03
-9.640000000000001e+00	-7.373400e-03
-9.630000000000001e+00	-7.363462e-03
-9.619999999999999e+00	-7.353524e-03
-9.609999999999999e+00	-7.343587e-03
-9.600000000000000e+00	-7.333649e-03
-9.590000000000000e+00	-7.323711e-03
-9.580000000000000e+00	-7.313774e-03
-9.570000000000000e+00	-7.303836e-03
-9.560000000000000e+00	-7.293899e-03
-9.550000000000001e+00	-7.283962e-03
-9.539999999999999e+00	-7.274025e-03
-9.529999999999999e+00	-7.264087e-03
-9.520000000000000e+00	-7.254150e-03
-9.510000000000000e+00	-7.244213e-03
-9.500000000000000e+00	-7.234277e-03
-9.490000000000000e+00	-7.224340e-03
-9.480000000000000e+00	-7.214403e-03
-9.470000000000001e+00	-7.204466e-03
-9.460000000000001e+00	-7.194530e-03
-9.449999999999999e+00	-7.184593e-03
-9.440000000000000e+00	-7.174657e-03
-9.430000000000000e+00	-7.164721e-03
-9.420000000000000e+00	-7.154785e-03
-9.410000000000000e+00	-7.144848e-03
-9.400000000000000e+00	-7.134913e-03
-9.390000000000001e+00	-7.124977e-03
-9.380000000000001e+00	-7.115041e-03
-9.369999999999999e+00	-7.105105e-03
-9.359999999999999e+00	-7.095169e-03
-9.350000000000000e+00	-7.085233e-03
-9.340000000000000e+00	-7.075298e-03
-9.330000000000000e+00	-7.065363e-03
-9.320000000000000e+00	-7.055427e-03
-9.310000000000000e+00	-7.045492e-03
-9.300000000000001e+00	-7.035557e-03
-9.289999999999999e+00	-7.025622e-03
-9.279999999999999e+00	-7.015687e-03
-9.270000000000000e+00	-7.005752e-03
-9.260000000000000e+00	-6.995817e-03
-9.250000000000000e+00	-6.985882e-03
-9.240000000000000e+00	-6.975948e-03
-9.230000000000000e+00	-6.966013e-03
-9.220000000000001e+00	-6.956079e-03
-9.210000000000001e+00	-6.946144e-03
-9.199999999999999e+00	-6.936210e-03
-9.190000000000000e+00	-6.926276e-03
-9.180000000000000e+00	-6.916342e-03
-9.170000000000000e+00	-6.906408e-03
-9.160000000000000e+00	-6.896474e-03
-9.150000000000000e+00	-6.886540e-03
-9.140000000000001e+00	-6.876606e-03
-9.130000000000001e+00	-6.866673e-03
-9.119999999999999e+00	-6.856739e-03
-9.109999999999999e+00	-6.846806e-03
-9.100000000000000e+00	-6.836872e-03
-9.090000000000000e+00	-6.826939e-03
-9.080000000000000e+00	-6.817006e-03
-9.070000000000000e+00	-6.807073e-03
-9.060000000000000e+00	-6.797140e-03
-9.050000000000001e+00	-6.787207e-03
-9.039999999999999e+00	-6.777274e-03
-9.029999999999999e+00	-6.767341e-03
-9.020000000000000e+00	-6.757408e-03
-9.010000000000000e+00	-6.747476e-03
-9.000000000000000e+00	-6.737544e-03
-8.990000000000000e+00	-6.727611e-03
-8.980000000000000e+00	-6.717679e-03
-8.970000000000001e+00	-6.707747e-03
-8.960000000000001e+00	-6.697815e-03
-8.949999999999999e+00	-6.687883e-03
-8.940000000000000e+00	-6.677951e-03
-8.930000000000000e+00	-6.668020e-03
-8.920000000000000e+00	-6.658088e-03
-8.910000000000000e+00	-6.648156e-03
-8.900000000000000e+00	-6.638225e-03
-8.890000000000001e+00	-6.628294e-03
-8.879999999999999e+00	-6.618362e-03
-8.869999999999999e+00	-6.608431e-03
-8.859999999999999e+00	-6.598500e-03
-8.850000000000000e+00	-6.588569e-03
-8.840000000000000e+00	-6.578638e-03
-8.830000000000000e+00	-6.568708e-03
-8.820000000000000e+00	-6.558777e-03
-8.810000000000000e+00	-6.548846e-03
-8.800000000000001e+00	-6.538916e-03
-8.789999999999999e+00	-6.528986e-03
-8.779999999999999e+00	-6.519055e-03
-8.770000000000000e+00	-6.509125e-03
-8.760000000000000e+00	-6.499195e-03
-8.750000000000000e+00	-6.489265e-03
-8.740000000000000e+00	-6.479335e-03
-8.730000000000000e+00	-6.469406e-03
-8.720000000000001e+00	-6.459476e-03
-8.710000000000001e+00	-6.449547e-03
-8.699999999999999e+00	-6.439617e-03
-8.690000000000000e+00	-6.429688e-03
-8.680000000000000e+00	-6.419759e-03
-8.670000000000000e+00	-6.409830e-03
-8.660000000000000e+00	-6.399901e-03
-8.650000000000000e+00	-6.389972e-03
-8.640000000000001e+00	-6.380043e-03
-8.629999999999999e+00	-6.370115e-03
-8.619999999999999e+00	-6.360186e-03
-8.609999999999999e+00	-6.350257e-03
-8.600000000000000e+00	-6.340330e-03
-8.590000000000000e+00	-6.330401e-03
-8.580000000000000e+00	-6.320473e-03
-8.570000000000000e+00	-6.310545e-03
-8.560000000000000e+00	-6.300617e-03
-8.550000000000001e+00	-6.290690e-03
-8.539999999999999e+00	-6.280762e-03
-8.529999999999999e+00	-6.270834e-03
-8.520000000000000e+00	-6.260907e-03
-8.510000000000000e+00	-6.250980e-03
-8.500000000000000e+00	-6.241052e-03
-8.490000000000000e+00	-6.231125e-03
-8.480000000000000e+00	-6.221198e-03
-8.470000000000001e+00	-6.211272e-03
-8.460000000000001e+00	-6.201345e-03
-8.449999999999999e+00	-6.191419e-03
-8.440000000000000e+00	-6.181492e-03
-8.430000000000000e+00	-6.171566e-03
-8.420000000000000e+00	-6.161639e-03
-8.410000000000000e+00	-6.151713e-03
-8.400000000000000e+00	-6.141787e-03
-8.390000000000001e+00	-6.131861e-03
-8.379999999999999e+00	-6.121935e-03
-8.369999999999999e+00	-6.112010e-03
-8.359999999999999e+00	-6.102084e-03
-8.350000000000000e+00	-6.092159e-03
-8.340000000000000e+00	-6.082234e-03
-8.330000000000000e+00	-6.072308e-03
-8.320000000000000e+00	-6.062383e-03
-8.310000000000000e+00	-6.052458e-03
-8.300000000000001e+00	-6.042534e-03
-8.289999999999999e+00	-6.032609e-03
-8.279999999999999e+00	-6.022684e-03
-8.270000000000000e+00	-6.012760e-03
-8.260000000000000e+00	-6.002835e-03
-8.250000000000000e+00	-5.992911e-03
-8.240000000000000e+00	-5.982987e-03
-8.230000000000000e+00	-5.973063e-03
-8.220000000000001e+00	-5.963140e-03
-8.210000000000001e+00	-5.953216e-03
-8.199999999999999e+00	-5.943292e-03
-8.190000000000000e+00	-5.933369e-03
-8.180000000000000e+00	-5.923446e-03
-8.170000000000000e+00	-5.913523e-03
