V1	I(D1)
-1.000000000000000e+02	-5.664336e-02
-9.990000000000001e+01	-5.654817e-02
-9.980000000000000e+01	-5.645298e-02
-9.970000000000000e+01	-5.635779e-02
-9.959999999999999e+01	-5.626259e-02
-9.950000000000000e+01	-5.616741e-02
-9.940000000000001e+01	-5.607221e-02
-9.930000000000000e+01	-5.597702e-02
-9.920000000000000e+01	-5.588183e-02
-9.909999999999999e+01	-5.578664e-02
-9.900000000000000e+01	-5.569145e-02
-9.890000000000001e+01	-5.559626e-02
-9.880000000000000e+01	-5.550107e-02
-9.870000000000000e+01	-5.540588e-02
-9.859999999999999e+01	-5.531069e-02
-9.850000000000000e+01	-5.521550e-02
-9.840000000000001e+01	-5.512030e-02
-9.830000000000000e+01	-5.502512e-02
-9.820000000000000e+01	-5.492992e-02
-9.809999999999999e+01	-5.483473e-02
-9.800000000000000e+01	-5.473954e-02
-9.790000000000001e+01	-5.464435e-02
-9.780000000000000e+01	-5.454916e-02
-9.770000000000000e+01	-5.445397e-02
-9.759999999999999e+01	-5.435878e-02
-9.750000000000000e+01	-5.426359e-02
-9.740000000000001e+01	-5.416840e-02
-9.730000000000000e+01	-5.407321e-02
-9.720000000000000e+01	-5.397802e-02
-9.709999999999999e+01	-5.388283e-02
-9.700000000000000e+01	-5.378764e-02
-9.690000000000001e+01	-5.369246e-02
-9.680000000000000e+01	-5.359727e-02
-9.670000000000000e+01	-5.350208e-02
-9.659999999999999e+01	-5.340689e-02
-9.650000000000000e+01	-5.331170e-02
-9.640000000000001e+01	-5.321651e-02
-9.630000000000000e+01	-5.312132e-02
-9.620000000000000e+01	-5.302613e-02
-9.609999999999999e+01	-5.293094e-02
-9.600000000000000e+01	-5.283576e-02
-9.590000000000001e+01	-5.274057e-02
-9.580000000000000e+01	-5.264538e-02
-9.570000000000000e+01	-5.255019e-02
-9.559999999999999e+01	-5.245500e-02
-9.550000000000000e+01	-5.235981e-02
-9.540000000000001e+01	-5.226462e-02
-9.530000000000000e+01	-5.216943e-02
-9.520000000000000e+01	-5.207425e-02
-9.509999999999999e+01	-5.197906e-02
-9.500000000000000e+01	-5.188387e-02
-9.490000000000001e+01	-5.178868e-02
-9.480000000000000e+01	-5.169350e-02
-9.470000000000000e+01	-5.159831e-02
-9.459999999999999e+01	-5.150312e-02
-9.450000000000000e+01	-5.140793e-02
-9.440000000000001e+01	-5.131275e-02
-9.430000000000000e+01	-5.121756e-02
-9.420000000000000e+01	-5.112237e-02
-9.409999999999999e+01	-5.102719e-02
-9.400000000000000e+01	-5.093200e-02
-9.390000000000001e+01	-5.083681e-02
-9.380000000000000e+01	-5.074162e-02
-9.370000000000000e+01	-5.064644e-02
-9.359999999999999e+01	-5.055125e-02
-9.350000000000000e+01	-5.045607e-02
-9.340000000000001e+01	-5.036088e-02
-9.330000000000000e+01	-5.026569e-02
-9.320000000000000e+01	-5.017050e-02
-9.309999999999999e+01	-5.007532e-02
-9.300000000000000e+01	-4.998013e-02
-9.290000000000001e+01	-4.988495e-02
-9.280000000000000e+01	-4.978976e-02
-9.270000000000000e+01	-4.969458e-02
-9.259999999999999e+01	-4.959939e-02
-9.250000000000000e+01	-4.950420e-02
-9.240000000000001e+01	-4.940902e-02
-9.230000000000000e+01	-4.931383e-02
-9.220000000000000e+01	-4.921865e-02
-9.209999999999999e+01	-4.912346e-02
-9.200000000000000e+01	-4.902828e-02
-9.190000000000001e+01	-4.893309e-02
-9.180000000000000e+01	-4.883790e-02
-9.170000000000000e+01	-4.874272e-02
-9.159999999999999e+01	-4.864753e-02
-9.150000000000000e+01	-4.855235e-02
-9.140000000000001e+01	-4.845717e-02
-9.130000000000000e+01	-4.836198e-02
-9.120000000000000e+01	-4.826680e-02
-9.109999999999999e+01	-4.817161e-02
-9.100000000000000e+01	-4.807643e-02
-9.090000000000001e+01	-4.798124e-02
-9.080000000000000e+01	-4.788606e-02
-9.070000000000000e+01	-4.779088e-02
-9.059999999999999e+01	-4.769569e-02
-9.050000000000000e+01	-4.760051e-02
-9.040000000000001e+01	-4.750532e-02
-9.030000000000000e+01	-4.741014e-02
-9.020000000000000e+01	-4.731496e-02
-9.009999999999999e+01	-4.721978e-02
-9.000000000000000e+01	-4.712459e-02
-8.990000000000001e+01	-4.702941e-02
-8.980000000000000e+01	-4.693422e-02
-8.970000000000000e+01	-4.683904e-02
-8.959999999999999e+01	-4.674386e-02
-8.950000000000000e+01	-4.664868e-02
-8.940000000000001e+01	-4.655349e-02
-8.930000000000000e+01	-4.645831e-02
-8.920000000000000e+01	-4.636313e-02
-8.909999999999999e+01	-4.626795e-02
-8.900000000000000e+01	-4.617276e-02
-8.890000000000001e+01	-4.607758e-02
-8.880000000000000e+01	-4.598240e-02
-8.870000000000000e+01	-4.588722e-02
-8.859999999999999e+01	-4.579204e-02
-8.850000000000000e+01	-4.569685e-02
-8.840000000000001e+01	-4.560167e-02
-8.830000000000000e+01	-4.550649e-02
-8.820000000000000e+01	-4.541131e-02
-8.809999999999999e+01	-4.531613e-02
-8.800000000000000e+01	-4.522095e-02
-8.790000000000001e+01	-4.512576e-02
-8.780000000000000e+01	-4.503058e-02
-8.770000000000000e+01	-4.493540e-02
-8.759999999999999e+01	-4.484022e-02
-8.750000000000000e+01	-4.474504e-02
-8.740000000000001e+01	-4.464986e-02
-8.730000000000000e+01	-4.455468e-02
-8.720000000000000e+01	-4.445950e-02
-8.709999999999999e+01	-4.436432e-02
-8.700000000000000e+01	-4.426914e-02
-8.690000000000001e+01	-4.417396e-02
-8.680000000000000e+01	-4.407878e-02
-8.670000000000000e+01	-4.398360e-02
-8.659999999999999e+01	-4.388842e-02
-8.650000000000000e+01	-4.379324e-02
-8.640000000000001e+01	-4.369806e-02
-8.630000000000000e+01	-4.360288e-02
-8.620000000000000e+01	-4.350770e-02
-8.609999999999999e+01	-4.341253e-02
-8.600000000000000e+01	-4.331734e-02
-8.590000000000001e+01	-4.322217e-02
-8.580000000000000e+01	-4.312699e-02
-8.570000000000000e+01	-4.303181e-02
-8.559999999999999e+01	-4.293663e-02
-8.550000000000000e+01	-4.284145e-02
-8.540000000000001e+01	-4.274627e-02
-8.530000000000000e+01	-4.265109e-02
-8.520000000000000e+01	-4.255592e-02
-8.509999999999999e+01	-4.246074e-02
-8.500000000000000e+01	-4.236556e-02
-8.490000000000001e+01	-4.227038e-02
-8.480000000000000e+01	-4.217521e-02
-8.470000000000000e+01	-4.208003e-02
-8.459999999999999e+01	-4.198485e-02
-8.450000000000000e+01	-4.188967e-02
-8.440000000000001e+01	-4.179450e-02
-8.430000000000000e+01	-4.169932e-02
-8.420000000000000e+01	-4.160414e-02
-8.409999999999999e+01	-4.150897e-02
-8.400000000000000e+01	-4.141379e-02
-8.390000000000001e+01	-4.131861e-02
-8.380000000000000e+01	-4.122344e-02
-8.370000000000000e+01	-4.112826e-02
-8.359999999999999e+01	-4.103309e-02
-8.350000000000000e+01	-4.093791e-02
-8.340000000000001e+01	-4.084273e-02
-8.330000000000000e+01	-4.074756e-02
-8.320000000000000e+01	-4.065238e-02
-8.309999999999999e+01	-4.055721e-02
-8.300000000000000e+01	-4.046204e-02
-8.290000000000001e+01	-4.036686e-02
-8.280000000000000e+01	-4.027168e-02
-8.270000000000000e+01	-4.017651e-02
-8.259999999999999e+01	-4.008133e-02
-8.250000000000000e+01	-3.998616e-02
-8.240000000000001e+01	-3.989099e-02
-8.230000000000000e+01	-3.979581e-02
-8.220000000000000e+01	-3.970064e-02
