time	V(n003)
0.000000000000000e+00	0.000000e+00
1.562500018259527e-09	1.666080e-05
3.125000036519054e-09	3.332160e-05
6.250000073038109e-09	6.664320e-05
1.250000014607622e-08	1.332864e-04
2.500000029215244e-08	2.665728e-04
4.366030184768035e-08	4.655459e-04
6.394015197024895e-06	6.817918e-02
1.274437009220211e-05	1.358920e-01
1.909472498737932e-05	2.036039e-01
2.544507988255654e-05	2.713149e-01
3.179543477773376e-05	3.390252e-01
3.814578967291097e-05	4.067345e-01
4.449614456808818e-05	4.744430e-01
8.355864456808818e-05	8.908761e-01
1.130231079843257e-04	1.204902e+00
1.463986243606592e-04	1.560485e+00
1.741482347882117e-04	1.856001e+00
2.055099138891510e-04	2.189812e+00
2.445724138891510e-04	2.605289e+00
2.836349138891510e-04	3.020373e+00
3.226974138891510e-04	3.435003e+00
3.617599138891510e-04	3.849115e+00
4.008224138891509e-04	4.262648e+00
4.398849138891509e-04	4.675539e+00
4.789474138891509e-04	5.087725e+00
5.180099138891509e-04	5.499146e+00
5.570724138891510e-04	5.909738e+00
5.961349138891510e-04	6.319440e+00
6.351974138891510e-04	6.728191e+00
6.742599138891511e-04	7.135928e+00
6.889083513891511e-04	7.288556e+00
6.907607397098540e-04	7.307846e+00
6.912238367900298e-04	7.312668e+00
6.921500309503812e-04	7.322311e+00
6.940024192710842e-04	7.341597e+00
6.977071959124902e-04	7.380160e+00
7.037233408041078e-04	7.442762e+00
7.101894580106260e-04	7.510016e+00
7.186753464737165e-04	7.598231e+00
7.318929796545946e-04	7.735527e+00
7.443695365483639e-04	7.865002e+00
7.693226503359028e-04	8.123589e+00
8.083851503359028e-04	8.527380e+00
8.865101503359029e-04	9.331051e+00
9.869565789073316e-04	1.035849e+01
1.087403007478760e-03	1.137314e+01
1.187849436050189e-03	1.237498e+01
1.288295864621618e-03	1.336401e+01
1.388742293193046e-03	1.434025e+01
1.489188721764475e-03	1.530368e+01
1.589635150335903e-03	1.625431e+01
1.645438721764475e-03	1.677454e+01
1.701242293193046e-03	1.728921e+01
1.757045864621618e-03	1.779835e+01
1.812849436050189e-03	1.830193e+01
1.868653007478761e-03	1.879997e+01
1.924456578907332e-03	1.929246e+01
1.980260150335904e-03	1.977941e+01
2.019322650335904e-03	2.011640e+01
2.024205462835904e-03	2.015831e+01
2.033971087835903e-03	2.024199e+01
2.047084756282116e-03	2.035406e+01
2.061439236469897e-03	2.047633e+01
2.078078058259154e-03	2.061755e+01
2.107604938181477e-03	2.086675e+01
2.136539040938415e-03	2.110922e+01
2.171533108248768e-03	2.140013e+01
2.205015251105911e-03	2.167612e+01
2.238497393963053e-03	2.194965e+01
2.271979536820196e-03	2.222070e+01
2.305461679677340e-03	2.248927e+01
2.338943822534482e-03	2.275538e+01
2.372425965391625e-03	2.301901e+01
2.405908108248768e-03	2.328016e+01
2.562158108248768e-03	2.447022e+01
2.718408108248768e-03	2.559501e+01
2.874658108248768e-03	2.665455e+01
3.030908108248769e-03	2.764882e+01
3.187158108248769e-03	2.857784e+01
3.343408108248769e-03	2.944159e+01
3.499658108248769e-03	3.024009e+01
3.957247393963055e-03	3.214435e+01
4.414836679677341e-03	3.336430e+01
4.872425965391627e-03	3.389994e+01
5.330015251105914e-03	3.375127e+01
5.787604536820199e-03	3.291830e+01
6.245193822534486e-03	3.140101e+01
6.702783108248771e-03	2.919941e+01
6.836711679677343e-03	2.844188e+01
6.970640251105915e-03	2.763781e+01
7.104568822534486e-03	2.678719e+01
7.238497393963057e-03	2.589003e+01
7.372425965391630e-03	2.494633e+01
7.506354536820201e-03	2.395609e+01
7.640283108248772e-03	2.291931e+01
7.835595608248772e-03	2.134107e+01
7.874658108248771e-03	2.101559e+01
7.913720608248770e-03	2.068694e+01
7.944187392036174e-03	2.042845e+01
7.976619242103487e-03	2.015123e+01
7.993756657797588e-03	2.000390e+01
8.008977507322419e-03	1.987255e+01
8.025413584282853e-03	1.973022e+01
8.058285738203722e-03	1.944396e+01
8.097348238203721e-03	1.910111e+01
8.136410738203721e-03	1.875538e+01
8.175473238203720e-03	1.840682e+01
8.214535738203719e-03	1.805550e+01
8.253598238203718e-03	1.770145e+01
8.292660738203717e-03	1.734474e+01
8.331723238203716e-03	1.698542e+01
8.370785738203716e-03	1.662354e+01
8.409848238203715e-03	1.625915e+01
8.448910738203714e-03	1.589232e+01
8.487973238203713e-03	1.552309e+01
8.527035738203712e-03	1.515153e+01
8.566098238203711e-03	1.477768e+01
8.605160738203711e-03	1.440161e+01
8.644223238203710e-03	1.402337e+01
8.683285738203709e-03	1.364301e+01
8.722348238203708e-03	1.326061e+01
8.761410738203707e-03	1.287620e+01
8.800473238203706e-03	1.248986e+01
8.839535738203706e-03	1.210164e+01
8.878598238203705e-03	1.171159e+01
8.917660738203704e-03	1.131978e+01
8.956723238203703e-03	1.092626e+01
8.995785738203702e-03	1.053110e+01
9.034848238203701e-03	1.013436e+01
9.073910738203701e-03	9.736086e+00
9.112973238203700e-03	9.336347e+00
9.152035738203699e-03	8.935203e+00
9.191098238203698e-03	8.532712e+00
9.230160738203697e-03	8.128937e+00
9.269223238203696e-03	7.723937e+00
9.293970887263586e-03	7.466748e+00
