time	V(n004)
0.000000000000000e+00	0.000000e+00
1.562500018259527e-09	1.613091e-06
3.125000036519054e-09	5.592425e-06
6.250000073038109e-09	1.950983e-05
1.250000014607622e-08	6.311072e-05
2.500000029215244e-08	1.797781e-04
4.366030184768035e-08	3.757313e-04
6.394015197024895e-06	6.809131e-02
1.274437009220211e-05	1.358059e-01
1.909472498737932e-05	2.035194e-01
2.544507988255654e-05	2.712320e-01
3.179543477773376e-05	3.389435e-01
3.814578967291097e-05	4.066541e-01
4.449614456808818e-05	4.743636e-01
8.355864456808818e-05	8.908021e-01
1.130231079843257e-04	1.204831e+00
1.463986243606592e-04	1.560416e+00
1.741482347882117e-04	1.855932e+00
2.055099138891510e-04	2.189744e+00
2.445724138891510e-04	2.605222e+00
2.836349138891510e-04	3.020308e+00
3.226974138891510e-04	3.434940e+00
3.617599138891510e-04	3.849055e+00
4.008224138891509e-04	4.262589e+00
4.398849138891509e-04	4.675482e+00
4.789474138891509e-04	5.087670e+00
5.180099138891509e-04	5.499092e+00
5.570724138891510e-04	5.909685e+00
5.961349138891510e-04	6.319389e+00
6.351974138891510e-04	6.728141e+00
6.742599138891511e-04	7.135879e+00
6.889083513891511e-04	7.288507e+00
6.907607397098540e-04	7.307797e+00
6.912238367900298e-04	7.312619e+00
6.921500309503812e-04	7.322263e+00
6.940024192710842e-04	7.341548e+00
6.977071959124902e-04	7.380112e+00
7.037233408041078e-04	7.442714e+00
7.101894580106260e-04	7.509968e+00
7.186753464737165e-04	7.598183e+00
7.318929796545946e-04	7.735479e+00
7.443695365483639e-04	7.864954e+00
7.693226503359028e-04	8.123542e+00
8.083851503359028e-04	8.527334e+00
8.865101503359029e-04	9.331007e+00
9.869565789073316e-04	1.035845e+01
1.087403007478760e-03	1.137310e+01
1.187849436050189e-03	1.237494e+01
1.288295864621618e-03	1.336398e+01
1.388742293193046e-03	1.434021e+01
1.489188721764475e-03	1.530365e+01
1.589635150335903e-03	1.625428e+01
1.645438721764475e-03	1.677450e+01
1.701242293193046e-03	1.728918e+01
1.757045864621618e-03	1.779831e+01
1.812849436050189e-03	1.830190e+01
1.868653007478761e-03	1.879994e+01
1.924456578907332e-03	1.929243e+01
1.980260150335904e-03	1.977938e+01
2.019322650335904e-03	2.011634e+01
2.024205462835904e-03	2.015816e+01
2.033971087835903e-03	2.024147e+01
2.047084756282116e-03	2.035302e+01
2.061439236469897e-03	2.047192e+01
2.078078058259154e-03	2.058902e+01
2.107604938181477e-03	2.068637e+01
2.136539040938415e-03	2.072435e+01
2.171533108248768e-03	2.074993e+01
2.205015251105911e-03	2.076435e+01
2.238497393963053e-03	2.077704e+01
2.271979536820196e-03	2.078801e+01
2.305461679677340e-03	2.079726e+01
2.338943822534482e-03	2.080478e+01
2.372425965391625e-03	2.081058e+01
2.405908108248768e-03	2.081466e+01
2.562158108248768e-03	2.083075e+01
2.718408108248768e-03	2.084464e+01
2.874658108248768e-03	2.085632e+01
3.030908108248769e-03	2.086579e+01
3.187158108248769e-03	2.087306e+01
3.343408108248769e-03	2.087812e+01
3.499658108248769e-03	2.088098e+01
