time	V(n002)
0.000000000000000e+00	0.000000e+00
1.562500018259527e-09	1.694176e-06
3.125000036519054e-09	5.856043e-06
6.250000073038109e-09	2.031830e-05
1.250000014607622e-08	6.516132e-05
2.500000029215244e-08	1.835678e-04
4.366030184768035e-08	3.803175e-04
6.394015197024895e-06	6.809361e-02
1.274437009220211e-05	1.358060e-01
1.909472498737932e-05	2.035174e-01
2.544507988255654e-05	2.712280e-01
3.179543477773376e-05	3.389376e-01
3.814578967291097e-05	4.066463e-01
4.449614456808818e-05	4.743541e-01
8.355864456808818e-05	8.907778e-01
1.130231079843257e-04	1.204744e+00
1.463986243606592e-04	1.560335e+00
1.741482347882117e-04	1.855858e+00
2.055099138891510e-04	2.189680e+00
2.445724138891510e-04	2.605160e+00
2.836349138891510e-04	3.020255e+00
3.226974138891510e-04	3.434886e+00
3.617599138891510e-04	3.849007e+00
4.008224138891509e-04	4.262540e+00
4.398849138891509e-04	4.675438e+00
4.789474138891509e-04	5.087624e+00
5.180099138891509e-04	5.499051e+00
5.570724138891510e-04	5.909641e+00
5.961349138891510e-04	6.319348e+00
6.351974138891510e-04	6.728086e+00
6.742599138891511e-04	7.135792e+00
6.889083513891511e-04	7.288384e+00
6.907607397098540e-04	7.307554e+00
6.912238367900298e-04	7.312279e+00
6.921500309503812e-04	7.321760e+00
6.940024192710842e-04	7.340761e+00
6.977071959124902e-04	7.377684e+00
7.037233408041078e-04	7.429559e+00
7.101894580106260e-04	7.465853e+00
7.186753464737165e-04	7.492198e+00
7.318929796545946e-04	7.514180e+00
7.443695365483639e-04	7.526855e+00
7.693226503359028e-04	7.543016e+00
8.083851503359028e-04	7.558404e+00
8.865101503359029e-04	7.576457e+00
9.869565789073316e-04	7.588221e+00
1.087403007478760e-03	7.598477e+00
1.187849436050189e-03	7.607224e+00
1.288295864621618e-03	7.614462e+00
1.388742293193046e-03	7.620191e+00
1.489188721764475e-03	7.624412e+00
1.589635150335903e-03	7.627124e+00
1.645438721764475e-03	7.629102e+00
1.701242293193046e-03	7.630991e+00
1.757045864621618e-03	7.632792e+00
1.812849436050189e-03	7.634504e+00
1.868653007478761e-03	7.636128e+00
1.924456578907332e-03	7.637663e+00
1.980260150335904e-03	7.639109e+00
2.019322650335904e-03	7.640096e+00
2.024205462835904e-03	7.640217e+00
2.033971087835903e-03	7.640459e+00
2.047084756282116e-03	7.640779e+00
2.061439236469897e-03	7.641127e+00
2.078078058259154e-03	7.641525e+00
2.107604938181477e-03	7.642220e+00
2.136539040938415e-03	7.642885e+00
2.171533108248768e-03	7.643672e+00
2.205015251105911e-03	7.644403e+00
2.238497393963053e-03	7.645119e+00
2.271979536820196e-03	7.645819e+00
2.305461679677340e-03	7.646502e+00
2.338943822534482e-03	7.647170e+00
2.372425965391625e-03	7.647822e+00
2.405908108248768e-03	7.648457e+00
2.562158108248768e-03	7.651192e+00
2.718408108248768e-03	7.653710e+00
2.874658108248768e-03	7.656013e+00
3.030908108248769e-03	7.658099e+00
3.187158108248769e-03	7.659968e+00
3.343408108248769e-03	7.661622e+00
3.499658108248769e-03	7.663059e+00
3.957247393963055e-03	7.666432e+00
4.414836679677341e-03	7.668588e+00
4.872425965391627e-03	7.669526e+00
5.330015251105914e-03	7.669248e+00
5.787604536820199e-03	7.667753e+00
6.245193822534486e-03	7.665040e+00
6.702783108248771e-03	7.661110e+00
6.836711679677343e-03	7.659688e+00
6.970640251105915e-03	7.658096e+00
7.104568822534486e-03	7.656333e+00
7.238497393963057e-03	7.654400e+00
7.372425965391630e-03	7.652297e+00
7.506354536820201e-03	7.650024e+00
7.640283108248772e-03	7.647580e+00
7.835595608248772e-03	7.643519e+00
7.874658108248771e-03	7.642636e+00
7.913720608248770e-03	7.641726e+00
7.944187392036174e-03	7.640998e+00
7.976619242103487e-03	7.640204e+00
7.993756657797588e-03	7.639776e+00
8.008977507322419e-03	7.639391e+00
8.025413584282853e-03	7.638970e+00
8.058285738203722e-03	7.638111e+00
8.097348238203721e-03	7.637059e+00
8.136410738203721e-03	7.635972e+00
8.175473238203720e-03	7.634847e+00
8.214535738203719e-03	7.633683e+00
8.253598238203718e-03	7.632475e+00
8.292660738203717e-03	7.631223e+00
8.331723238203716e-03	7.629920e+00
8.370785738203716e-03	7.628566e+00
8.409848238203715e-03	7.627154e+00
8.448910738203714e-03	7.625680e+00
8.487973238203713e-03	7.624138e+00
8.527035738203712e-03	7.622523e+00
8.566098238203711e-03	7.620825e+00
8.605160738203711e-03	7.619038e+00
8.644223238203710e-03	7.617149e+00
8.683285738203709e-03	7.615148e+00
8.722348238203708e-03	7.613019e+00
8.761410738203707e-03	7.610744e+00
8.800473238203706e-03	7.608302e+00
8.839535738203706e-03	7.605665e+00
8.878598238203705e-03	7.602798e+00
8.917660738203704e-03	7.599655e+00
8.956723238203703e-03	7.596176e+00
8.995785738203702e-03	7.592276e+00
9.034848238203701e-03	7.587837e+00
9.073910738203701e-03	7.582680e+00
9.112973238203700e-03	7.576520e+00
9.152035738203699e-03	7.568864e+00
9.191098238203698e-03	7.558739e+00
9.230160738203697e-03	7.543427e+00
9.269223238203696e-03	7.513305e+00
9.293970887263586e-03	7.446017e+00
9.294500528055329e-03	7.442604e+00
9.295559809638816e-03	7.435538e+00
9.297678372805788e-03	7.419765e+00
9.301915499139734e-03	7.381827e+00
9.307148430448081e-03	7.329401e+00
9.313009397653203e-03	7.268516e+00
9.320210148073840e-03	7.193598e+00
9.329076398679491e-03	7.101124e+00
9.338851222785060e-03	6.999254e+00
9.358400870996198e-03	6.795091e+00
9.394547270539027e-03	6.417120e+00
9.433609770539026e-03	6.007570e+00
9.472672270539025e-03	5.597256e+00
9.511734770539024e-03	5.185956e+00
9.550797270539023e-03	4.774017e+00
9.589859770539022e-03	4.361216e+00
9.628922270539022e-03	3.947902e+00
9.667984770539021e-03	3.533850e+00
9.707047270539020e-03	3.119409e+00
9.746109770539019e-03	2.704355e+00
9.785172270539018e-03	2.289037e+00
9.824234770539017e-03	1.873232e+00
9.863297270539017e-03	1.457287e+00
9.902359770539016e-03	1.040980e+00
9.941422270539015e-03	6.246590e-01
9.980484770539014e-03	2.081015e-01
1.001954727053901e-02	-2.083451e-01
1.005860977053901e-02	-6.249024e-01
1.009767227053901e-02	-1.041224e+00
1.013673477053901e-02	-1.457530e+00
1.017579727053901e-02	-1.873475e+00
1.021485977053901e-02	-2.289279e+00
1.025392227053901e-02	-2.704597e+00
1.029298477053901e-02	-3.119650e+00
1.033204727053901e-02	-3.534091e+00
1.037110977053901e-02	-3.948141e+00
1.039519330885753e-02	-4.203012e+00
1.042108847796545e-02	-4.476933e+00
1.044811102024221e-02	-4.762320e+00
1.048032388675357e-02	-5.102225e+00
1.050880029238080e-02	-5.402138e+00
1.053973191064245e-02	-5.727565e+00
1.057401567690564e-02	-6.087477e+00
1.057889848940564e-02	-6.138726e+00
1.058866411440564e-02	-6.241110e+00
1.060819536440564e-02	-6.445700e+00
1.062936480623672e-02	-6.667176e+00
1.070748980623672e-02	-7.481896e+00
1.075213266337958e-02	-7.945684e+00
1.079677552052243e-02	-8.407683e+00
1.084141837766529e-02	-8.867892e+00
1.088606123480815e-02	-9.326313e+00
1.093070409195100e-02	-9.782945e+00
1.097534694909386e-02	-1.023779e+01
1.101998980623671e-02	-1.069084e+01
1.109811480623671e-02	-1.147817e+01
1.117623980623671e-02	-1.225859e+01
