V2	V(n002)	I(R2)
Step Information: Vbb=0  (Step: 1/26)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	3.820861e-13
2.000000000000000e-01	2.000000e-01	3.254374e-13
3.000000000000000e-01	3.000000e-01	4.272798e-13
4.000000000000000e-01	4.000000e-01	5.275766e-13
5.000000000000000e-01	5.000000e-01	6.276047e-13
6.000000000000001e-01	6.000000e-01	7.276168e-13
7.000000000000001e-01	7.000000e-01	8.276384e-13
8.000000000000000e-01	8.000000e-01	9.276516e-13
9.000000000000000e-01	9.000000e-01	1.027664e-12
1.000000000000000e+00	1.000000e+00	1.127676e-12
1.100000000000000e+00	1.100000e+00	1.227687e-12
1.200000000000000e+00	1.200000e+00	1.327699e-12
1.300000000000000e+00	1.300000e+00	1.427711e-12
1.400000000000000e+00	1.400000e+00	1.527722e-12
1.500000000000000e+00	1.500000e+00	1.627734e-12
1.600000000000000e+00	1.600000e+00	1.727746e-12
1.700000000000000e+00	1.700000e+00	1.827758e-12
1.800000000000000e+00	1.800000e+00	1.927769e-12
1.900000000000000e+00	1.900000e+00	2.027782e-12
2.000000000000000e+00	2.000000e+00	2.127793e-12
2.100000000000000e+00	2.100000e+00	2.227805e-12
2.200000000000000e+00	2.200000e+00	2.327817e-12
2.300000000000000e+00	2.300000e+00	2.427829e-12
2.400000000000000e+00	2.400000e+00	2.527840e-12
2.500000000000000e+00	2.500000e+00	2.627853e-12
2.600000000000000e+00	2.600000e+00	2.727864e-12
2.700000000000000e+00	2.700000e+00	2.827876e-12
2.800000000000000e+00	2.800000e+00	2.927887e-12
2.900000000000000e+00	2.900000e+00	3.027899e-12
3.000000000000000e+00	3.000000e+00	3.127911e-12
3.100000000000000e+00	3.100000e+00	3.227924e-12
3.200000000000000e+00	3.200000e+00	3.327935e-12
3.300000000000000e+00	3.300000e+00	3.427947e-12
3.400000000000000e+00	3.400000e+00	3.527958e-12
3.500000000000000e+00	3.500000e+00	3.627971e-12
3.600000000000000e+00	3.600000e+00	3.727981e-12
3.700000000000000e+00	3.700000e+00	3.827993e-12
3.800000000000000e+00	3.800000e+00	3.928006e-12
3.900000000000000e+00	3.900000e+00	4.028017e-12
4.000000000000000e+00	4.000000e+00	4.128029e-12
4.100000000000001e+00	4.100000e+00	4.228040e-12
4.200000000000000e+00	4.200000e+00	4.328054e-12
4.300000000000000e+00	4.300000e+00	4.428064e-12
4.400000000000000e+00	4.400000e+00	4.528076e-12
4.500000000000000e+00	4.500000e+00	4.628088e-12
4.600000000000001e+00	4.600000e+00	4.728100e-12
4.700000000000000e+00	4.700000e+00	4.828112e-12
4.800000000000001e+00	4.800000e+00	4.928121e-12
4.900000000000000e+00	4.900000e+00	5.028133e-12
5.000000000000000e+00	5.000000e+00	5.128147e-12
5.100000000000001e+00	5.100000e+00	5.228159e-12
5.200000000000000e+00	5.200000e+00	5.328170e-12
5.300000000000001e+00	5.300000e+00	5.428182e-12
5.400000000000000e+00	5.400000e+00	5.528194e-12
