V1	V(n004)	Ib(Q1)
0.000000000000000e+00	1.010806e-07	-1.010806e-11
1.000000000000000e-01	1.000001e-01	-9.881627e-12
2.000000000000000e-01	2.000001e-01	-9.088947e-12
3.000000000000000e-01	2.999999e-01	7.018874e-12
4.000000000000000e-01	3.999946e-01	5.412857e-10
5.000000000000000e-01	4.997804e-01	2.195863e-08
6.000000000000001e-01	5.925758e-01	7.424485e-07
7.000000000000001e-01	6.457738e-01	5.422702e-06
8.000000000000000e-01	6.706480e-01	1.293520e-05
9.000000000000000e-01	6.861888e-01	2.138112e-05
1.000000000000000e+00	6.976871e-01	3.023128e-05
1.100000000000000e+00	7.069618e-01	3.930384e-05
1.200000000000000e+00	7.148238e-01	4.851762e-05
1.300000000000000e+00	7.217027e-01	5.782973e-05
1.400000000000000e+00	7.278522e-01	6.721478e-05
1.500000000000000e+00	7.302883e-01	7.697116e-05
1.600000000000000e+00	7.307549e-01	8.692452e-05
1.700000000000000e+00	7.311503e-01	9.688497e-05
1.800000000000000e+00	7.315218e-01	1.068478e-04
1.900000000000000e+00	7.318811e-01	1.168119e-04
2.000000000000000e+00	7.322330e-01	1.267767e-04
2.100000000000000e+00	7.325798e-01	1.367420e-04
2.200000000000000e+00	7.329231e-01	1.467077e-04
2.300000000000000e+00	7.332636e-01	1.566736e-04
2.400000000000000e+00	7.336020e-01	1.666398e-04
2.500000000000000e+00	7.339386e-01	1.766061e-04
2.600000000000000e+00	7.342737e-01	1.865726e-04
2.700000000000000e+00	7.346076e-01	1.965392e-04
2.800000000000000e+00	7.349405e-01	2.065060e-04
2.900000000000000e+00	7.352725e-01	2.164727e-04
3.000000000000000e+00	7.356037e-01	2.264396e-04
3.100000000000000e+00	7.359341e-01	2.364066e-04
3.200000000000000e+00	7.362639e-01	2.463736e-04
3.300000000000000e+00	7.365932e-01	2.563407e-04
3.400000000000000e+00	7.369219e-01	2.663078e-04
3.500000000000000e+00	7.372501e-01	2.762750e-04
3.600000000000000e+00	7.375779e-01	2.862422e-04
3.700000000000000e+00	7.379053e-01	2.962095e-04
3.800000000000000e+00	7.382323e-01	3.061768e-04
3.900000000000000e+00	7.385589e-01	3.161441e-04
4.000000000000000e+00	7.388852e-01	3.261115e-04
4.100000000000001e+00	7.392111e-01	3.360789e-04
4.200000000000000e+00	7.395368e-01	3.460463e-04
4.300000000000000e+00	7.398623e-01	3.560138e-04
4.400000000000000e+00	7.401873e-01	3.659813e-04
4.500000000000000e+00	7.405123e-01	3.759488e-04
4.600000000000001e+00	7.408369e-01	3.859163e-04
4.700000000000000e+00	7.411613e-01	3.958839e-04
4.800000000000001e+00	7.414855e-01	4.058515e-04
4.900000000000000e+00	7.418094e-01	4.158191e-04
5.000000000000000e+00	7.421331e-01	4.257867e-04
5.100000000000001e+00	7.424567e-01	4.357543e-04
5.200000000000000e+00	7.427801e-01	4.457220e-04
5.300000000000001e+00	7.431033e-01	4.556897e-04
5.400000000000000e+00	7.434263e-01	4.656574e-04
5.500000000000000e+00	7.437491e-01	4.756251e-04
5.600000000000001e+00	7.440717e-01	4.855928e-04
5.700000000000000e+00	7.443942e-01	4.955606e-04
5.800000000000001e+00	7.447165e-01	5.055284e-04
5.900000000000000e+00	7.450387e-01	5.154961e-04
6.000000000000000e+00	7.453607e-01	5.254640e-04
6.100000000000001e+00	7.456825e-01	5.354317e-04
6.200000000000000e+00	7.460042e-01	5.453996e-04
6.300000000000001e+00	7.463258e-01	5.553674e-04
6.400000000000000e+00	7.466472e-01	5.653353e-04
6.500000000000000e+00	7.469685e-01	5.753032e-04
6.600000000000001e+00	7.472897e-01	5.852710e-04
6.700000000000000e+00	7.476107e-01	5.952389e-04
6.800000000000001e+00	7.479316e-01	6.052068e-04
6.900000000000000e+00	7.482524e-01	6.151748e-04
7.000000000000000e+00	7.485730e-01	6.251427e-04
7.100000000000001e+00	7.488936e-01	6.351107e-04
7.200000000000000e+00	7.492139e-01	6.450786e-04
7.300000000000001e+00	7.495342e-01	6.550466e-04
7.400000000000000e+00	7.498544e-01	6.650146e-04
7.500000000000000e+00	7.501744e-01	6.749826e-04
7.600000000000001e+00	7.504944e-01	6.849506e-04
7.700000000000000e+00	7.508142e-01	6.949186e-04
7.800000000000001e+00	7.511339e-01	7.048866e-04
7.900000000000000e+00	7.514535e-01	7.148546e-04
8.000000000000000e+00	7.517730e-01	7.248227e-04
8.100000000000000e+00	7.520924e-01	7.347908e-04
8.200000000000001e+00	7.524117e-01	7.447588e-04
8.300000000000001e+00	7.527308e-01	7.547269e-04
8.400000000000000e+00	7.530499e-01	7.646950e-04
8.500000000000000e+00	7.533689e-01	7.746631e-04
8.600000000000000e+00	7.536877e-01	7.846312e-04
8.700000000000001e+00	7.540065e-01	7.945994e-04
8.800000000000001e+00	7.543252e-01	8.045675e-04
8.900000000000000e+00	7.546438e-01	8.145356e-04
9.000000000000000e+00	7.549623e-01	8.245038e-04
9.100000000000000e+00	7.552807e-01	8.344720e-04
9.200000000000001e+00	7.555990e-01	8.444401e-04
9.300000000000001e+00	7.559171e-01	8.544083e-04
9.400000000000000e+00	7.562352e-01	8.643765e-04
9.500000000000000e+00	7.565532e-01	8.743447e-04
9.600000000000001e+00	7.568712e-01	8.843129e-04
9.700000000000001e+00	7.571890e-01	8.942811e-04
9.800000000000001e+00	7.575067e-01	9.042493e-04
9.900000000000000e+00	7.578244e-01	9.142176e-04
1.000000000000000e+01	7.581420e-01	9.241858e-04
