V1	Ib(Q1)	Ic(Q1)
Step Information: Vcc=2  (Step: 1/3)
0.000000000000000e+00	-2.108057e-12	2.127778e-12
2.000000000000000e-01	-1.088948e-12	4.942585e-11
4.000000000000000e-01	5.483038e-10	1.130685e-07
6.000000000000001e-01	3.066668e-07	8.162573e-05
8.000000000000000e-01	1.835495e-06	4.984133e-04
1.000000000000000e+00	3.651412e-06	9.924481e-04
1.200000000000000e+00	5.537783e-06	1.501350e-03
1.400000000000000e+00	7.455088e-06	2.013380e-03
1.600000000000000e+00	9.389687e-06	2.524456e-03
1.800000000000000e+00	1.133535e-05	3.032390e-03
2.000000000000000e+00	1.330274e-05	3.373604e-03
2.200000000000000e+00	1.529553e-05	3.444059e-03
2.400000000000000e+00	1.729176e-05	3.475726e-03
2.600000000000000e+00	1.928899e-05	3.495973e-03
2.800000000000000e+00	2.128670e-05	3.510804e-03
3.000000000000000e+00	2.328468e-05	3.522484e-03
3.200000000000000e+00	2.528284e-05	3.532106e-03
3.400000000000000e+00	2.728113e-05	3.540280e-03
3.600000000000000e+00	2.927951e-05	3.547379e-03
3.800000000000000e+00	3.127796e-05	3.553651e-03
4.000000000000000e+00	3.327647e-05	3.559265e-03
4.200000000000000e+00	3.527503e-05	3.564344e-03
4.400000000000000e+00	3.727363e-05	3.568981e-03
4.600000000000001e+00	3.927226e-05	3.573244e-03
4.800000000000001e+00	4.127092e-05	3.577188e-03
5.000000000000000e+00	4.326961e-05	3.580857e-03
Step Information: Vcc=5  (Step: 2/3)
0.000000000000000e+00	-5.108057e-12	5.128332e-12
2.000000000000000e-01	-4.088941e-12	5.396274e-11
4.000000000000000e-01	5.453097e-10	1.167672e-07
6.000000000000001e-01	3.066509e-07	8.431257e-05
8.000000000000000e-01	1.835351e-06	5.148413e-04
1.000000000000000e+00	3.651106e-06	1.025185e-03
1.200000000000000e+00	5.537310e-06	1.550899e-03
1.400000000000000e+00	7.454445e-06	2.079854e-03
1.600000000000000e+00	9.388876e-06	2.607830e-03
1.800000000000000e+00	1.133433e-05	3.132916e-03
2.000000000000000e+00	1.328744e-05	3.654116e-03
2.200000000000000e+00	1.524615e-05	4.170873e-03
2.400000000000000e+00	1.720916e-05	4.682862e-03
2.600000000000000e+00	1.917557e-05	5.189898e-03
2.800000000000000e+00	2.114473e-05	5.691878e-03
3.000000000000000e+00	2.311617e-05	6.188754e-03
3.200000000000000e+00	2.508953e-05	6.680515e-03
3.400000000000000e+00	2.706453e-05	7.167176e-03
3.600000000000000e+00	2.904096e-05	7.648768e-03
3.800000000000000e+00	3.101862e-05	8.125323e-03
4.000000000000000e+00	3.299861e-05	8.568233e-03
4.200000000000000e+00	3.499195e-05	8.707286e-03
4.400000000000000e+00	3.698940e-05	8.750274e-03
4.600000000000001e+00	3.898762e-05	8.774888e-03
4.800000000000001e+00	4.098615e-05	8.792046e-03
5.000000000000000e+00	4.298486e-05	8.805186e-03
Step Information: Vcc=10  (Step: 3/3)
0.000000000000000e+00	-1.010806e-11	1.012934e-11
2.000000000000000e-01	-9.088930e-12	6.152561e-11
4.000000000000000e-01	5.403195e-10	1.229319e-07
6.000000000000001e-01	3.066245e-07	8.879014e-05
8.000000000000000e-01	1.835111e-06	5.422157e-04
1.000000000000000e+00	3.650597e-06	1.079734e-03
1.200000000000000e+00	5.536521e-06	1.633462e-03
1.400000000000000e+00	7.453375e-06	2.190618e-03
1.600000000000000e+00	9.387523e-06	2.746755e-03
1.800000000000000e+00	1.133270e-05	3.299858e-03
2.000000000000000e+00	1.328553e-05	3.848875e-03
2.200000000000000e+00	1.524397e-05	4.393219e-03
2.400000000000000e+00	1.720670e-05	4.932547e-03
2.600000000000000e+00	1.917284e-05	5.466664e-03
2.800000000000000e+00	2.114173e-05	5.995460e-03
3.000000000000000e+00	2.311290e-05	6.518885e-03
3.200000000000000e+00	2.508600e-05	7.036926e-03
3.400000000000000e+00	2.706075e-05	7.549599e-03
3.600000000000000e+00	2.903691e-05	8.056936e-03
3.800000000000000e+00	3.101432e-05	8.558983e-03
4.000000000000000e+00	3.299283e-05	9.055796e-03
4.200000000000000e+00	3.497232e-05	9.547438e-03
4.400000000000000e+00	3.695268e-05	1.003398e-02
4.600000000000001e+00	3.893382e-05	1.051548e-02
4.800000000000001e+00	4.091569e-05	1.099202e-02
5.000000000000000e+00	4.289820e-05	1.146367e-02
